D01,A,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pse,03B06,,,08D05
D01,C,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pse,08C03,09C02,,
D03,A,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pse,03B06,,,08D05
D03,C,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pse,08C03,09C02,,
D01,A,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,Pna,03B06,08C03,,08D05
D01,C,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,Pna,08C03,09C02,,
D01,A,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,E,03B06,,,08D05
D01,C,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,E,08C03,09C02,,
D01,A,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,Pse,03B06,,,08D05
D01,C,Media,Disappearance,Med.dis,MA.P,Vol,Med,,,,Pse,08C03,09C02,,
D01,A,Media,Inoperability,Med.ine,AC.M,Equ,Exp,,,,,,09D01,,08D05
D01,A,Media,Inoperability,Med.ine,IC.E,De,Exp,,,,,,03C01,,08D05
D01,A,Media,Inoperability,Med.ine,IC.E,Se,Exp,,,,,,min(03A01;03A04),,08D05
D01,A,Electronic_Media,Inoperability,Med.ine,IF.L,Exp,Exp,,,,,,08A03,08E03,08D05
D01,A,Media,Inoperability,Med.ine,IC.E,Pol,Med,,,,,,,,08D05
D05,A,printouts,Inoperability,PMed.ine,IC.E,Pol,Med,,,,,,08A07,,
D01,A,Media,Inoperability,Med.ine,IC.E,De,Med,,,,,,08C03,,08D05
D01,A,Access means,Disappearance,Cle.dis,ER.P,Pro,,,,,,,,,09D02
D01,A,Access means,Disappearance,Cle.dis,MA.P,Vol,,,,,,,,,09D02
D01,A,File,Erasure,Fic.eff,IF.L,Vir,Exp,,,,,,min(08D07;11D06),,11D04
D02,A,File,Erasure,Fic.eff,IF.L,Vir,Exp,,,,,,min(08D07;11D06),,11D04
