AB.P.Pep,3
AB.P.Per,2
AB.S.Cli,2
AB.S.Ene,3
AB.S.Loc,2
AB.S.Maa,3
AB.S.Mas,2
AC.E.Fou,2
AC.E.Inc,2
AC.E.Ino,3
AC.M.Equ,3
AC.M.Ser,3
AV.P.Gre,2
ER.L.Lin,3
ER.P.Peo,3
ER.P.Pro,3
ER.P.Prs,3
IC.E.Age,2
IC.E.De,3
IC.E.Pol,2
IC.E.Se,2
IF.L.Exp,3
IF.L.Lsp,2
IF.L.Ver,3
IF.L.Vir,4
MA.L.Blo,2
MA.L.Cfg,2
MA.L.Del,2
MA.L.Ele,3
MA.L.Fal,3
MA.L.Fau,3
MA.L.Rej,2
MA.L.Sam,3
MA.L.Tot,2
MA.L.Vol,3
MA.P.Fal,2
MA.P.Ter,2
MA.P.Van,2
MA.P.Vol,2
PR.N.Api,2
PR.N.Naa,2
PR.N.Nam,2
PR.N.Nav,2
